epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
81,20220.5,0.52829,0.97675,0.75197,0.97586,0,0.48608,0.35979,0.35468,0.29299,0.49637,0.3564,0.35521,0.27939,0.70578,1.48505,1.65986,1.15156,0,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472
82,20467.2,0.52879,0.9766,0.74562,0.9784,0,0.4571,0.35741,0.34895,0.2897,0.46423,0.35373,0.34905,0.27588,0.69996,1.49069,1.68428,1.14674,0,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
83,20713.7,0.51993,0.96641,0.73909,0.97298,0,0.46492,0.35396,0.34631,0.28712,0.46928,0.35495,0.34673,0.27383,0.69938,1.48215,1.67001,1.14483,0,0.013764,0.004588,0.013764,0.004588,0.013764,0.004588,0.013764,0.004588
84,20960.2,0.52612,0.97213,0.73298,0.97299,0,0.44815,0.36397,0.35088,0.29112,0.45173,0.35963,0.34937,0.27597,0.69917,1.48124,1.67084,1.14183,0,0.013566,0.004522,0.013566,0.004522,0.013566,0.004522,0.013566,0.004522
85,21206.6,0.51526,0.95387,0.72429,0.97251,0,0.50433,0.35027,0.3525,0.29145,0.52847,0.33989,0.35105,0.27713,0.70624,1.48917,1.65536,1.14852,0,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
86,21452.9,0.51919,0.95369,0.72599,0.97233,0,0.50206,0.35167,0.35085,0.29267,0.50514,0.35366,0.35084,0.27807,0.70376,1.51455,1.68517,1.1517,0,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439
87,21699.5,0.51292,0.9404,0.70535,0.968,0,0.4697,0.35439,0.34653,0.28706,0.47424,0.35473,0.34805,0.27467,0.70615,1.50727,1.67655,1.15349,0,0.012972,0.004324,0.012972,0.004324,0.012972,0.004324,0.012972,0.004324
88,21946.6,0.51296,0.945,0.69405,0.96647,0,0.46652,0.34807,0.34737,0.28758,0.46616,0.34953,0.34885,0.27494,0.70296,1.54088,1.67459,1.1525,0,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
89,22193.2,0.51214,0.94451,0.70184,0.96852,0,0.4582,0.3527,0.34882,0.28899,0.46824,0.35183,0.3492,0.27731,0.69927,1.51861,1.68839,1.14925,0,0.012576,0.004192,0.012576,0.004192,0.012576,0.004192,0.012576,0.004192
90,22439.8,0.51135,0.94059,0.69376,0.96437,0,0.45659,0.35895,0.3495,0.28994,0.4825,0.35742,0.3492,0.27837,0.70027,1.52895,1.69073,1.1491,0,0.012378,0.004126,0.012378,0.004126,0.012378,0.004126,0.012378,0.004126
91,22685.7,0.51175,0.94044,0.68565,0.96712,0,0.45448,0.36872,0.34865,0.29051,0.45872,0.37016,0.34941,0.27768,0.70316,1.53283,1.69977,1.1516,0,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
92,22932,0.50826,0.94099,0.69082,0.96323,0,0.44274,0.35974,0.34924,0.2893,0.43911,0.35924,0.34884,0.27698,0.6982,1.51171,1.68233,1.14796,0,0.011982,0.003994,0.011982,0.003994,0.011982,0.003994,0.011982,0.003994
93,23178.4,0.51118,0.93791,0.68339,0.96527,0,0.48717,0.35189,0.34824,0.28984,0.49475,0.34856,0.35008,0.27743,0.70407,1.51384,1.69268,1.15255,0,0.011784,0.003928,0.011784,0.003928,0.011784,0.003928,0.011784,0.003928
94,23424.6,0.50297,0.93011,0.67767,0.96206,0,0.48334,0.35203,0.34801,0.2892,0.50039,0.35309,0.34929,0.27617,0.69968,1.51916,1.68423,1.14877,0,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
95,23670.9,0.50385,0.91905,0.67289,0.96215,0,0.48485,0.34909,0.35009,0.28938,0.48524,0.35032,0.35014,0.27644,0.70614,1.51396,1.69059,1.15853,0,0.011388,0.003796,0.011388,0.003796,0.011388,0.003796,0.011388,0.003796
96,23917.4,0.49983,0.92646,0.66264,0.96057,0,0.43391,0.35476,0.3504,0.28998,0.4593,0.34746,0.3502,0.27674,0.7035,1.52874,1.69855,1.15626,0,0.01119,0.00373,0.01119,0.00373,0.01119,0.00373,0.01119,0.00373
97,24163.9,0.5,0.91422,0.65462,0.9586,0,0.4364,0.37399,0.34777,0.28723,0.50395,0.34102,0.34908,0.27631,0.70182,1.521,1.70045,1.15322,0,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
98,24410.4,0.5005,0.91694,0.65709,0.95914,0,0.49764,0.35788,0.3493,0.29028,0.50054,0.35983,0.35119,0.277,0.69838,1.51038,1.69149,1.1463,0,0.010794,0.003598,0.010794,0.003598,0.010794,0.003598,0.010794,0.003598
